C,l1_ratio,top_k,n_estimators,max_depth,mean_accuracy,mean_balanced_accuracy,mean_f1
1.0,0.3,50,100,10.0,0.7375,0.74,0.7327453796203797
1.0,0.5,100,300,,0.7375,0.7444444444444445,0.7279346348096348
1.0,0.5,20,300,10.0,0.7375,0.7444444444444445,0.7309821428571428
1.0,0.5,100,100,5.0,0.7375,0.7444444444444446,0.7319410450660451
0.1,0.7,50,100,,0.7375,0.7422222222222221,0.7329817404817405
1.0,0.3,20,100,,0.7375,0.74,0.732086385836386
1.0,0.5,20,300,,0.7375,0.7444444444444445,0.7309821428571428
1.0,0.3,20,100,10.0,0.7375,0.74,0.732086385836386
1.0,0.5,50,100,5.0,0.7375,0.7422222222222222,0.734528527028527
1.0,0.5,100,300,10.0,0.7375,0.7444444444444445,0.7279346348096348
1.0,0.3,50,100,,0.7375,0.74,0.7327453796203797
1.0,0.3,20,100,5.0,0.7375,0.7377777777777778,0.730806623931624
0.1,0.5,100,300,5.0,0.7375,0.7444444444444446,0.7355205905205906
0.1,0.3,20,300,,0.7375,0.7444444444444445,0.7374145299145298
0.1,0.5,50,100,5.0,0.7375,0.7444444444444446,0.73235236985237
0.1,0.5,50,300,,0.7375,0.7444444444444446,0.7322150072150072
0.1,0.3,20,300,10.0,0.7375,0.7444444444444445,0.7374145299145298
1.0,0.7,50,100,5.0,0.7375,0.7422222222222222,0.730801837051837
0.1,0.3,20,300,5.0,0.7375,0.7422222222222222,0.7350335775335775
0.1,0.7,50,100,10.0,0.725,0.731111111111111,0.7206954156954157
0.1,0.5,100,300,,0.725,0.7333333333333335,0.7200660450660451
1.0,0.5,20,300,5.0,0.725,0.7288888888888889,0.7148511904761905
1.0,0.7,100,100,,0.725,0.7333333333333334,0.7172134809634809
1.0,0.5,100,100,10.0,0.725,0.7333333333333334,0.7154346348096349
0.1,0.3,50,100,10.0,0.725,0.7333333333333334,0.7191045066045066
0.1,0.5,100,100,10.0,0.725,0.7333333333333334,0.7232828282828283
0.1,0.5,20,100,5.0,0.725,0.731111111111111,0.7185665029415029
0.1,0.3,50,100,,0.725,0.7333333333333334,0.7191045066045066
10.0,0.3,20,100,5.0,0.725,0.7288888888888889,0.7111645299145299
10.0,0.3,50,300,5.0,0.725,0.7266666666666668,0.7084145021645021
10.0,0.3,50,300,,0.725,0.7266666666666668,0.7165108502608503
10.0,0.5,20,300,10.0,0.725,0.7266666666666668,0.7116132478632479
10.0,0.5,20,300,5.0,0.725,0.7288888888888889,0.7107799145299145
10.0,0.5,20,300,,0.725,0.7266666666666668,0.7116132478632479
10.0,0.3,50,300,10.0,0.725,0.7266666666666668,0.7165108502608503
1.0,0.5,20,100,10.0,0.725,0.7288888888888889,0.7148511904761905
1.0,0.5,20,100,5.0,0.725,0.7266666666666668,0.7142101648351649
1.0,0.5,100,100,,0.725,0.7333333333333334,0.7154346348096349
1.0,0.5,20,100,,0.725,0.7288888888888889,0.7148511904761905
0.1,0.7,50,100,5.0,0.725,0.7333333333333332,0.7161130536130537
1.0,0.7,100,100,10.0,0.725,0.7333333333333334,0.7172134809634809
10.0,0.3,100,300,5.0,0.725,0.731111111111111,0.717899739149739
10.0,0.3,50,100,10.0,0.725,0.7244444444444444,0.7187835775335775
10.0,0.3,50,100,,0.725,0.7244444444444444,0.7187835775335775
0.1,0.5,100,300,10.0,0.725,0.7333333333333335,0.7200660450660451
0.1,0.7,20,300,10.0,0.7125,0.72,0.7115219502719503
0.1,0.7,50,300,5.0,0.7125,0.72,0.7055361305361305
0.1,0.7,20,100,5.0,0.7125,0.7177777777777777,0.7099679487179487
0.1,0.7,20,300,,0.7125,0.72,0.7115219502719503
0.1,0.7,20,300,5.0,0.7125,0.7177777777777777,0.7099679487179487
0.1,0.7,20,100,,0.7125,0.72,0.7115219502719503
0.1,0.7,20,100,10.0,0.7125,0.72,0.7115219502719503
10.0,0.7,100,300,10.0,0.7125,0.7177777777777778,0.7026694832944833
10.0,0.7,20,300,,0.7125,0.7155555555555556,0.7010149572649572
10.0,0.7,20,300,10.0,0.7125,0.7155555555555556,0.7010149572649572
10.0,0.7,100,300,,0.7125,0.7177777777777778,0.7026694832944833
1.0,0.7,50,300,10.0,0.7125,0.72,0.7061528749028749
10.0,0.5,20,100,5.0,0.7125,0.7155555555555557,0.6991132478632478
1.0,0.7,50,300,,0.7125,0.72,0.7061528749028749
1.0,0.7,50,100,10.0,0.7125,0.72,0.7061528749028749
0.1,0.3,50,300,,0.7125,0.7222222222222223,0.7066045066045066
0.1,0.3,50,300,10.0,0.7125,0.7222222222222223,0.7066045066045066
0.1,0.3,20,100,5.0,0.7125,0.7177777777777778,0.7117735042735043
1.0,0.7,50,100,,0.7125,0.72,0.7061528749028749
10.0,0.5,100,100,5.0,0.7,0.7044444444444445,0.6936834693084692
10.0,0.7,20,300,5.0,0.7,0.7022222222222222,0.688014763014763
10.0,0.7,20,100,5.0,0.7,0.7022222222222222,0.6885149572649573
1.0,0.3,100,100,10.0,0.7,0.7044444444444445,0.691380772005772
1.0,0.3,100,100,,0.7,0.7044444444444445,0.691380772005772
1.0,0.3,100,300,10.0,0.7,0.7066666666666668,0.6873743617493617
0.1,0.3,20,100,,0.7,0.7066666666666668,0.6969017094017095
0.1,0.3,20,100,10.0,0.7,0.7066666666666668,0.6969017094017095
1.0,0.3,100,300,5.0,0.7,0.7066666666666668,0.6873743617493617
1.0,0.3,100,300,,0.7,0.7066666666666668,0.6873743617493617
10.0,0.3,100,300,10.0,0.7,0.7066666666666668,0.6975666000666001
10.0,0.3,100,300,,0.7,0.7066666666666668,0.6975666000666001
0.1,0.5,20,100,10.0,0.7,0.7044444444444444,0.699582362082362
0.1,0.5,20,100,,0.7,0.7044444444444444,0.699582362082362
10.0,0.5,20,100,10.0,0.6875,0.6888888888888889,0.6633044243338361
10.0,0.7,100,100,,0.6875,0.6911111111111111,0.6797819541569542
10.0,0.5,100,300,,0.6875,0.6933333333333335,0.6775092268842269
10.0,0.7,20,100,,0.6875,0.6911111111111111,0.6760149572649572
0.1,0.5,20,300,10.0,0.6875,0.6933333333333334,0.6848096348096349
0.1,0.5,20,300,,0.6875,0.6933333333333334,0.6848096348096349
10.0,0.7,100,100,10.0,0.6875,0.6911111111111111,0.6797819541569542
10.0,0.7,100,300,5.0,0.6875,0.6911111111111111,0.6811834693084693
0.1,0.7,50,300,,0.6875,0.6955555555555556,0.6838772338772339
10.0,0.5,20,100,,0.6875,0.6888888888888889,0.6633044243338361
10.0,0.7,20,100,10.0,0.6875,0.6911111111111111,0.6760149572649572
10.0,0.5,100,300,10.0,0.6875,0.6933333333333335,0.6775092268842269
0.1,0.7,50,300,10.0,0.6875,0.6955555555555556,0.6838772338772339
0.1,0.7,100,100,5.0,0.6875,0.6933333333333334,0.6813884032634033
10.0,0.5,100,100,,0.675,0.68,0.6650092268842268
10.0,0.5,100,300,5.0,0.675,0.68,0.6650092268842268
10.0,0.5,100,100,10.0,0.675,0.68,0.6650092268842268
10.0,0.7,100,100,5.0,0.675,0.6777777777777778,0.6673577117327116
0.1,0.7,100,100,,0.675,0.6822222222222222,0.668271658896659
0.1,0.7,100,100,10.0,0.675,0.6822222222222222,0.668271658896659
1.0,0.3,100,100,5.0,0.6625,0.6666666666666667,0.6533883477633478
0.1,0.7,100,300,5.0,0.65,0.6577777777777778,0.644529428904429
0.1,0.7,100,300,10.0,0.65,0.6577777777777778,0.644529428904429
0.1,0.7,100,300,,0.65,0.6577777777777778,0.644529428904429
0.01,0.5,100,100,5.0,0.4625,0.4666666666666667,0.44526745313510013
0.01,0.7,100,100,5.0,0.4625,0.4666666666666667,0.44526745313510013
0.01,0.3,100,100,5.0,0.4625,0.4666666666666667,0.44526745313510013
0.01,0.7,20,100,,0.45,0.4355555555555556,0.40429740215924426
0.01,0.5,20,100,10.0,0.45,0.4355555555555556,0.40429740215924426
0.01,0.7,20,100,10.0,0.45,0.4355555555555556,0.40429740215924426
